Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster Category,Booster landing,Class,Date,Time
0,CCAFS SLC-40,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,F9 v1.0B0003.1,v1.0,Failure,0,4-Jun-10,18:45
1,CCAFS SLC-40,Dragon,0,LEO,NASA,Success,F9 v1.0B0004.1,v1.0,Failure,0,8-Dec-10,15:43
2,CCAFS SLC-40,Dragon,525,LEO,NASA,Success,F9 v1.0B0005.1,v1.0,No attempt,0,22-May-12,7:44
3,CCAFS SLC-40,SpaceX CRS-1,4700,LEO,NASA,Success,F9 v1.0B0006.1,v1.0,No attempt,0,8-Oct-12,0:35
4,CCAFS SLC-40,SpaceX CRS-2,4877,LEO,NASA,Success,F9 v1.0B0007.1,v1.0,No attempt,0,1-Mar-13,15:10
5,VAFB SLC-4E,CASSIOPE,500,Polar,MDA,Success,F9 v1.1B1003,v1.1,Uncontrolled,0,29-Sep-13,16:00
6,CCAFS SLC-40,SES-8,3170,GTO,SES,Success,F9 v1.1,v1.1,No attempt,0,3-Dec-13,22:41
7,CCAFS SLC-40,Thaicom 6,3325,GTO,Thaicom,Success,F9 v1.1,v1.1,No attempt,0,6-Jan-14,22:06
8,CCAFS LC-40,SpaceX CRS-3,2296,LEO,NASA,Success,F9 v1.1,v1.1,Controlled,0,18-Apr-14,19:25
9,CCAFS LC-40,Orbcomm-OG2,1316,LEO,Orbcomm,Success,F9 v1.1,v1.1,Controlled,0,14-Jul-14,15:15
10,CCAFS LC-40,AsiaSat 8,4535,GTO,AsiaSat,Success,F9 v1.1,v1.1,No attempt,0,5-Aug-14,8:00
11,CCAFS LC-40,AsiaSat 6,4428,GTO,AsiaSat,Success,F9 v1.1,v1.1,No attempt,0,7-Sep-14,5:00
12,CCAFS LC-40,SpaceX CRS-4,2216,LEO,NASA,Success,F9 v1.1,v1.1,Uncontrolled,0,21-Sep-14,5:52
13,CCAFS LC-40,SpaceX CRS-5,2395,LEO,NASA,Success,F9 v1.1,v1.1,Failure,0,10-Jan-15,9:47
14,CCAFS LC-40,DSCOVR,570,HEO,USAF,Success,F9 v1.1,v1.1,Controlled,0,11-Feb-15,23:03
15,CCAFS LC-40,ABS-3A,4159,GTO,ABS,Success,F9 v1.1,v1.1,No attempt,0,2-Mar-15,3:50
16,CCAFS LC-40,SpaceX CRS-6,1898,LEO,NASA,Success,F9 v1.1,v1.1,Failure,0,14-Apr-15,20:10
17,CCAFS LC-40,TürkmenÄlem 52°E / MonacoSAT,4707,GTO,,Success,F9 v1.1,v1.1,No attempt,0,27-Apr-15,23:03
18,CCAFS LC-40,SpaceX CRS-7,1952,LEO,NASA,Failure,F9 v1.1,v1.1,Precluded,0,28-Jun-15,14:21
19,CCAFS LC-40,Orbcomm-OG2,2034,LEO,Orbcomm,Success,F9 FT,FT,Success,1,22-Dec-15,1:29
20,VAFB SLC-4E,Jason-3,553,LEO,NASA,Success,F9 v1.1,v1.1,Failure,0,17-Jan-16,18:42
21,CCAFS LC-40,SES-9,5271,GTO,SES,Success,F9 FT,FT,Failure,0,4-Mar-16,23:35
22,CCAFS LC-40,SpaceX CRS-8,3136,LEO,NASA,Success,F9 FT,FT,Success,1,8-Apr-16,20:43
23,CCAFS LC-40,JCSAT-14,4696,GTO,SKY Perfect JSAT Group,Success,F9 FT,FT,Success,1,6-May-16,5:21
24,CCAFS LC-40,Thaicom 8,3100,GTO,Thaicom,Success,F9 FT,FT,Success,1,27-May-16,21:39
25,CCAFS LC-40,ABS-2A,3600,GTO,ABS,Success,F9 FT,FT,Failure,0,15-Jun-16,14:29
26,CCAFS LC-40,SpaceX CRS-9,2257,LEO,NASA,Success,F9 FT,FT,Success,1,18-Jul-16,4:45
27,CCAFS LC-40,JCSAT-16,4600,GTO,SKY Perfect JSAT Group,Success,F9 FT,FT,Success,1,14-Aug-16,5:26
28,VAFB SLC-4E,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 FT,FT,Success,1,14-Jan-17,17:54
29,KSC LC-39A,SpaceX CRS-10,2490,LEO,NASA,Success,F9 FT,FT,Success,1,19-Feb-17,14:39
30,KSC LC-39A,EchoStar 23,5600,GTO,EchoStar,Success,F9 FT,FT,No attempt,0,16-Mar-17,6:00
31,KSC LC-39A,SES-10,5300,GTO,SES,Success,F9 FT♺,FT,Success,1,30-Mar-17,22:27
32,KSC LC-39A,Inmarsat-5 F4,6070,GTO,Inmarsat,Success,F9 FT,FT,No attempt,0,15-May-17,23:21
33,KSC LC-39A,SpaceX CRS-11,2708,LEO,NASA,Success,F9 FT,FT,Success,1,3-Jun-17,21:07
34,KSC LC-39A,BulgariaSat-1,3669,GTO,Bulsatcom,Success,F9 FTB1029.2,FT,Success,1,23-Jun-17,19:10
35,VAFB SLC-4E,Iridium NEXT,9600,LEO,Iridium Communications,Success,F9 FT,FT,Success,1,25-Jun-17,20:25
36,KSC LC-39A,Intelsat 35e,6761,GTO,Intelsat,Success,F9 FT,FT,No attempt,0,5-Jul-17,23:38
37,KSC LC-39A,SpaceX CRS-12,3310,LEO,NASA,Success,F9 B4,B4,Success,1,14-Aug-17,16:31
38,VAFB SLC-4E,Formosat-5,475,SSO,NSPO,Success,F9 FT,FT,Success,1,24-Aug-17,18:51
39,KSC LC-39A,Boeing X-37B,4990,LEO,USAF,Success,F9 B4,B4,Success,1,7-Sep-17,14:00
40,VAFB SLC-4E,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 B4,B4,Success,1,9-Oct-17,12:37
41,KSC LC-39A,SES-11,5200,GTO,SES S.A.,Success,F9 FTB1031.2,FT,Success,1,11-Oct-17,22:53:00
42,KSC LC-39A,Koreasat 5A,3500,GTO,KT Corporation,Success,F9 B4,B4,Success,1,30-Oct-17,19:34
43,CCAFS SLC-40,SpaceX CRS-13,2205,LEO,NASA,Success,F9 FTB1035.2,FT,Success,1,15-Dec-17,15:36
44,VAFB SLC-4E,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 FTB1036.2,FT,Controlled,0,23-Dec-17,1:27
45,CCAFS SLC-40,GovSat-1,4230,GTO,SES,Success,F9 FTB1032.2,FT,Controlled,0,31-Jan-18,21:25
46,VAFB SLC-4E,Paz,2150,SSO,Hisdesat,Success,F9 FTB1038.2,FT,No attempt,0,22-Feb-18,14:17
47,CCAFS SLC-40,Hispasat 30W-6,6092,GTO,Hispasat,Success,F9 B4,B4,No attempt,0,6-Mar-18,5:33
48,VAFB SLC-4E,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 B4B1041.2,B4,No attempt,0,30-Mar-18,14:14
49,CCAFS SLC-40,SpaceX CRS-14,2647,LEO,NASA,Success,F9 B4B1039.2,B4,No attempt,0,2-Apr-18,20:30
50,CCAFS SLC-40,Transiting Exoplanet Survey Satellite,362,HEO,NASA,Success,F9 B4,B4,Success,1,18-Apr-18,22:51
